"Address","Name","Is delegator","Avatar","Space","Ens name","Follow Count","Follows Space","Total Votes","Proposal Interaction","Proposal Interaction In Space","Proposal Interaction outside of Space","Total NFT`s","Total Rewards NFT`s","User is delegator"
"0x79bE42C4D27f9ff82dF6b7D30Dbe5c5C81CbC143","","0","","aave.eth","","2","1","4159.682410801","76","13","63","0","0","0"
"0xb8e704e59EE3BD423E9B9e9b94479a04f9eBe2C5","0xluffy.eth","0","","aave.eth","0xluffy.eth","0","0","4074.8030158379","2","2","0","0","0","0"
"0xbb1D39CCCE974e2e6f5f237402419EdaAD78EEEc","","0","","aave.eth","","0","0","4074.8029443336","5","2","3","0","0","0"
"0x1eF6dea4b89E382448f58f4f17adEc374f5E1649","","0","","aave.eth","","15","1","4061.1991775923","76","38","38","1","0","0"
"0x8154322E396db9a428201a906EF1Fa38F5A52C09","","0","","aave.eth","","2","1","3934.1140043881","48","48","0","0","0","0"
"0x1f4A5430e68268B4ca6D6cD8d3189d264d282fD9","","0","","aave.eth","","0","0","3900.5384121261","1","1","0","0","0","0"
"0x404cc81Cb762Cd0cfe8734B6acB6b9780B221F55","","0","","aave.eth","pappu.argent.xyz","0","0","3675.1638996014","7","7","0","0","0","0"
"0x5028D77B91a3754fb38B2FBB726AF02d1FE44Db6","","0","","aave.eth","","0","0","3591.94007627","1","1","0","0","0","0"
"0x1F7D6c2BF5744d9F77F98cbcACE13Eb1623cffe8","","0","","aave.eth","","11","1","3550.7612430044","5","5","0","1","0","0"
"0xdFC30c075019Bb671d60D84242d814f3cdf8d76E","","0","","aave.eth","","12","0","3520.0418376078","207","104","103","50","0","0"
"0xF4a587311aAd1F2d6B0A86bD41566345b371534d","","0","","aave.eth","","0","0","3445.1903661765","3","2","1","0","0","0"
"0x4292AA3e417d62B7472505E0543e10878302223c","","0","","aave.eth","nashae.eth","7","1","3392.140981522","179","91","88","0","0","0"
"0xf1b1cF1a44CadE3d7a0962d61abDC475f1f3D093","","0","","aave.eth","62347.eth","18","1","3348.7741274394","57","17","40","26","2","0"
"0x3bd856465321ead1605286938493169E9C9011Cf","","0","","aave.eth","","0","0","3316.1645433682","4","4","0","0","0","0"
"0x8d93440581cEF5ebBD10502431B62e6Ae031646d","","0","","aave.eth","","1","1","4036.9898857674","30","30","0","0","0","0"
"0x0343e4246b7Bcdb7f3a69b6fCb728C151ab13881","","0","","aave.eth","","0","0","3141.769330171","1","1","0","0","0","0"
"0x25CC275CFE3Cce1700E816e00d4CD1f60872038A","","0","","aave.eth","pranjalbora.eth","20","0","3235.0859793591","561","173","388","50","0","0"
"0xBC1796B4d9D112De8CF29849EE3e732FFD27d4d8","","0","","aave.eth","nelsonthechain.eth","5","1","3057.6394236364","15","6","9","3","0","0"
"0x0527c1F35Cfae1051e3A3C28Eb2255d7f0138469","","0","","aave.eth","cryptoplaza.eth","13","1","3015.0130058913","6","5","1","0","0","0"
"0x9B99D2d419dC99338C93D60b575a2d13551774Ca","","0","","aave.eth","","2","1","2996.5485638801","37","33","4","0","0","0"
"0x54F2d57856e44Dcf81880DF34Df300D145Cc7D57","","0","","aave.eth","0xarnas.eth","20","0","3021.5960095382","165","75","90","50","1","0"
"0x9035B69186FCA1a9a43d6D5aaB62822eD666E6E0","","0","","aave.eth","bigbangbtc.eth","10","1","2971.3925517386","31","25","6","50","0","0"
"0x41b8644d8c77a1fa258eC647595E69fEB1caa029","","0","","aave.eth","1688btc.eth","20","1","2949.6078691658","70","18","52","16","2","0"
"0x0120b4134354D7E885685A23E7606ccAf7d0B2b4","","0","","aave.eth","","0","0","2831.7263719903","1","1","0","0","0","0"
"0x508602e550cDCea8E430a1c802001ca02D86f8Ed","","0","","aave.eth","centurian.eth","1","1","2724.5745588933","21","6","15","0","0","0"
"0x9548Fc023f6000B4Bd1f8569aBc4222bDede65c7","","0","","aave.eth","","0","0","2685.1773913164","3","2","1","0","0","0"
"0xe4AAc6B026C5f8acE5a7411647B4f23c76a3eE42","","0","","aave.eth","","0","0","2673.439278534","43","18","25","15","1","0"
"0xF670fD01a42a80C5098d4785638F7B0a8Ac69010","","0","","aave.eth","","12","0","2624.0839022732","186","13","173","47","2","0"
"0xF24b73A328dF29cdde804aCF605B8722aD5030DA","","0","","aave.eth","","0","0","2574.4948335746","23","2","21","0","0","0"
"0xeD62616a7c1DD354801f4E72389299a81493e004","","0","","aave.eth","","2","1","3906.767828","48","32","16","0","0","0"
"0x08CC4a936A24A278097FeB566Fccf71FFe84A833","","0","","aave.eth","","0","0","2500","1","1","0","0","0","0"
"0x59ac3463AB0EF831DE8CbFA079aE55f95E2348bC","","0","","aave.eth","","0","0","2476.5738594272","35","11","24","0","0","0"
"0x4AdA1B9D9fe28aBd9585f58cfEeD2169A39e1c6b","","0","","aave.eth","jaysal1.eth","7","0","2462.4180917755","648","7","641","9","1","0"
"0xC53a1B7da00e02Ef475283f303247A314c636175","","0","","aave.eth","","3","1","2417.6551465334","90","28","62","0","0","0"
"0x6cfAc3Cf77A359D7ce28C14F2D53de48981e0F04","","0","","aave.eth","","7","1","2375.333381569","25","4","21","4","0","0"
"0x8354410A9cF0F77BF3eE77D1aA9C5BA79696B450","","0","","aave.eth","","1","1","2338.4750621474","17","17","0","0","0","0"
"0xAbCb83117C875419ab026d65B9A37978C6a87427","","0","","aave.eth","infernok.eth","11","1","2323.3781656387","201","34","167","48","0","0"
"0xA29DbaA84a9949A0A38a2Ba07E0b75e6603934DB","","0","","aave.eth","bravus.eth","5","1","2166.4891944599","20","9","11","2","0","0"
"0x0BF93eA5a1FA4CE3Dd22C7ffd314462d3869777F","","0","","aave.eth","degen0.eth","11","1","2161.2557489669","86","10","76","2","0","0"
"0x8f2BC8332A37F4447C4CE030d7f9CFAB3848F35a","","0","","aave.eth","","0","0","2121.5041552998","4","1","3","2","0","0"
"0xEB52371F5a251E93799A64844A88d3F56872AD00","","0","","aave.eth","","0","0","2087.3325838857","9","9","0","2","0","0"
